win percent,lose percent,wins,loses,nothing
0.1,-0.1,228,843,333
0.1,-0.2,294,769,341
0.1,-0.3,377,674,353
0.1,-0.4,462,569,373
0.1,-0.5,536,468,400
0.1,-0.6,596,379,429
0.1,-0.7,642,315,447
0.1,-0.8,680,266,458
0.1,-0.9,706,226,472
0.1,-1.0,728,192,484
0.1,-1.1,745,167,492
0.1,-1.2,765,140,499
0.1,-1.3,772,125,507
0.1,-1.4,781,110,513
0.1,-1.5,788,100,516
0.1,-1.6,793,91,520
0.1,-1.7,800,79,525
0.1,-1.8,800,73,531
0.1,-1.9,805,65,534
0.1,-2.0,809,57,538
0.1,-2.1,813,51,540
0.1,-2.2,815,48,541
0.1,-2.3,816,45,543
0.1,-2.4,819,40,545
0.1,-2.5,824,33,547
0.1,-2.6,825,29,550
0.1,-2.7,827,27,550
0.1,-2.8,830,23,551
0.1,-2.9,831,22,551
0.1,-3.0,831,22,551
0.1,-3.1,833,19,552
0.1,-3.2,833,18,553
0.1,-3.3,833,18,553
0.1,-3.4,834,17,553
0.1,-3.5,835,16,553
0.1,-3.6,836,15,553
0.1,-3.7,836,15,553
0.1,-3.8,836,15,553
0.1,-3.9,837,14,553
0.1,-4.0,837,14,553
0.1,-4.1,837,12,555
0.1,-4.2,838,11,555
0.1,-4.3,839,10,555
0.1,-4.4,840,8,556
0.1,-4.5,842,6,556
0.1,-4.6,842,6,556
0.1,-4.7,843,5,556
0.1,-4.8,843,5,556
0.1,-4.9,843,5,556
0.1,-5.0,843,4,557
0.1,-5.1,843,4,557
0.1,-5.2,843,4,557
0.1,-5.3,843,4,557
0.1,-5.4,843,4,557
0.1,-5.5,843,4,557
0.1,-5.6,843,4,557
0.1,-5.7,843,4,557
0.1,-5.8,843,4,557
0.1,-5.9,843,3,558
0.1,-6.0,843,3,558
0.1,-6.1,843,3,558
0.1,-6.2,843,3,558
0.1,-6.3,843,3,558
0.1,-6.4,843,3,558
0.1,-6.5,843,2,559
0.1,-6.6,843,2,559
0.1,-6.7,843,2,559
0.1,-6.8,843,2,559
0.1,-6.9,843,2,559
0.1,-7.0,844,1,559
0.1,-7.1,844,1,559
0.1,-7.2,844,1,559
0.1,-7.3,844,1,559
0.1,-7.4,845,0,559
0.2,-0.1,220,843,341
0.2,-0.2,279,769,356
0.2,-0.3,355,674,375
0.2,-0.4,431,569,404
0.2,-0.5,497,468,439
0.2,-0.6,548,379,477
0.2,-0.7,589,315,500
0.2,-0.8,623,266,515
0.2,-0.9,645,226,533
0.2,-1.0,659,192,553
0.2,-1.1,674,167,563
0.2,-1.2,692,140,572
0.2,-1.3,696,125,583
0.2,-1.4,703,110,591
0.2,-1.5,709,100,595
0.2,-1.6,713,91,600
0.2,-1.7,718,79,607
0.2,-1.8,718,73,613
0.2,-1.9,723,65,616
0.2,-2.0,727,57,620
0.2,-2.1,731,51,622
0.2,-2.2,732,48,624
0.2,-2.3,733,45,626
0.2,-2.4,736,40,628
0.2,-2.5,741,33,630
0.2,-2.6,742,29,633
0.2,-2.7,743,27,634
0.2,-2.8,746,23,635
0.2,-2.9,747,22,635
0.2,-3.0,747,22,635
0.2,-3.1,749,19,636
0.2,-3.2,749,18,637
0.2,-3.3,749,18,637
0.2,-3.4,750,17,637
0.2,-3.5,751,16,637
0.2,-3.6,751,15,638
0.2,-3.7,751,15,638
0.2,-3.8,751,15,638
0.2,-3.9,752,14,638
0.2,-4.0,752,14,638
0.2,-4.1,752,12,640
0.2,-4.2,753,11,640
0.2,-4.3,754,10,640
0.2,-4.4,755,8,641
0.2,-4.5,757,6,641
0.2,-4.6,757,6,641
0.2,-4.7,758,5,641
0.2,-4.8,758,5,641
0.2,-4.9,758,5,641
0.2,-5.0,758,4,642
0.2,-5.1,758,4,642
0.2,-5.2,758,4,642
0.2,-5.3,758,4,642
0.2,-5.4,758,4,642
0.2,-5.5,758,4,642
0.2,-5.6,758,4,642
0.2,-5.7,758,4,642
0.2,-5.8,758,4,642
0.2,-5.9,758,3,643
0.2,-6.0,758,3,643
0.2,-6.1,758,3,643
0.2,-6.2,758,3,643
0.2,-6.3,758,3,643
0.2,-6.4,758,3,643
0.2,-6.5,758,2,644
0.2,-6.6,758,2,644
0.2,-6.7,758,2,644
0.2,-6.8,758,2,644
0.2,-6.9,758,2,644
0.2,-7.0,759,1,644
0.2,-7.1,759,1,644
0.2,-7.2,759,1,644
