win percent,lose percent,wins,loses,nothing
0.1,-0.1,845,226,333
0.1,-0.2,845,218,341
0.1,-0.3,845,206,353
0.1,-0.4,845,186,373
0.1,-0.5,845,159,400
0.1,-0.6,845,130,429
0.1,-0.7,845,112,447
0.1,-0.8,845,101,458
0.1,-0.9,845,87,472
0.1,-1.0,845,75,484
0.1,-1.1,845,67,492
0.1,-1.2,845,60,499
0.1,-1.3,845,52,507
0.1,-1.4,845,46,513
0.1,-1.5,845,43,516
0.1,-1.6,845,39,520
0.1,-1.7,845,34,525
0.1,-1.8,845,28,531
0.1,-1.9,845,25,534
0.1,-2.0,845,21,538
0.1,-2.1,845,19,540
0.1,-2.2,845,18,541
0.1,-2.3,845,16,543
0.1,-2.4,845,14,545
0.1,-2.5,845,12,547
0.1,-2.6,845,9,550
0.1,-2.7,845,9,550
0.1,-2.8,845,8,551
0.1,-2.9,845,8,551
0.1,-3.0,845,8,551
0.1,-3.1,845,7,552
0.1,-3.2,845,6,553
0.1,-3.3,845,6,553
0.1,-3.4,845,6,553
0.1,-3.5,845,6,553
0.1,-3.6,845,6,553
0.1,-3.7,845,6,553
0.1,-3.8,845,6,553
0.1,-3.9,845,6,553
0.1,-4.0,845,6,553
0.1,-4.1,845,4,555
0.1,-4.2,845,4,555
0.1,-4.3,845,4,555
0.1,-4.4,845,3,556
0.1,-4.5,845,3,556
0.1,-4.6,845,3,556
0.1,-4.7,845,3,556
0.1,-4.8,845,3,556
0.1,-4.9,845,3,556
0.1,-5.0,845,2,557
0.1,-5.1,845,2,557
0.1,-5.2,845,2,557
0.1,-5.3,845,2,557
0.1,-5.4,845,2,557
0.1,-5.5,845,2,557
0.1,-5.6,845,2,557
0.1,-5.7,845,2,557
0.1,-5.8,845,2,557
0.1,-5.9,845,1,558
0.1,-6.0,845,1,558
0.1,-6.1,845,1,558
0.1,-6.2,845,1,558
0.1,-6.3,845,1,558
0.1,-6.4,845,1,558
0.1,-6.5,845,0,559
0.2,-0.1,759,304,341
0.2,-0.2,759,289,356
0.2,-0.3,759,270,375
0.2,-0.4,759,241,404
0.2,-0.5,759,206,439
0.2,-0.6,759,168,477
0.2,-0.7,759,145,500
0.2,-0.8,759,130,515
0.2,-0.9,759,112,533
0.2,-1.0,759,92,553
0.2,-1.1,759,82,563
0.2,-1.2,759,73,572
0.2,-1.3,759,62,583
0.2,-1.4,759,54,591
0.2,-1.5,759,50,595
0.2,-1.6,759,45,600
0.2,-1.7,759,38,607
0.2,-1.8,759,32,613
0.2,-1.9,759,29,616
0.2,-2.0,759,25,620
0.2,-2.1,759,23,622
0.2,-2.2,759,21,624
0.2,-2.3,759,19,626
0.2,-2.4,759,17,628
0.2,-2.5,759,15,630
0.2,-2.6,759,12,633
0.2,-2.7,759,11,634
0.2,-2.8,759,10,635
0.2,-2.9,759,10,635
0.2,-3.0,759,10,635
0.2,-3.1,759,9,636
0.2,-3.2,759,8,637
0.2,-3.3,759,8,637
0.2,-3.4,759,8,637
0.2,-3.5,759,8,637
0.2,-3.6,759,7,638
0.2,-3.7,759,7,638
0.2,-3.8,759,7,638
0.2,-3.9,759,7,638
0.2,-4.0,759,7,638
0.2,-4.1,759,5,640
0.2,-4.2,759,5,640
0.2,-4.3,759,5,640
0.2,-4.4,759,4,641
0.2,-4.5,759,4,641
0.2,-4.6,759,4,641
0.2,-4.7,759,4,641
0.2,-4.8,759,4,641
0.2,-4.9,759,4,641
0.2,-5.0,759,3,642
0.2,-5.1,759,3,642
0.2,-5.2,759,3,642
0.2,-5.3,759,3,642
0.2,-5.4,759,3,642
0.2,-5.5,759,3,642
0.2,-5.6,759,3,642
0.2,-5.7,759,3,642
0.2,-5.8,759,3,642
0.2,-5.9,759,2,643
0.2,-6.0,759,2,643
0.2,-6.1,759,2,643
0.2,-6.2,759,2,643
0.2,-6.3,759,2,643
0.2,-6.4,759,2,643
0.2,-6.5,759,1,644
0.2,-6.6,759,1,644
0.2,-6.7,759,1,644
0.2,-6.8,759,1,644
0.2,-6.9,759,1,644
0.2,-7.0,759,1,644
0.2,-7.1,759,1,644
0.2,-7.2,759,1,644
0.2,-7.3,759,1,644
0.2,-7.4,759,0,645
0.3,-0.1,666,387,351
0.3,-0.2,666,363,375
0.3,-0.3,666,331,407
0.3,-0.4,666,294,444
0.3,-0.5,666,248,490
0.3,-0.6,666,202,536
0.3,-0.7,666,170,568
0.3,-0.8,666,149,589
0.3,-0.9,666,126,612
0.3,-1.0,666,103,635
0.3,-1.1,666,93,645
0.3,-1.2,666,81,657
0.3,-1.3,666,69,669
0.3,-1.4,666,60,678
0.3,-1.5,666,56,682
0.3,-1.6,666,50,688
0.3,-1.7,666,42,696
0.3,-1.8,666,36,702
0.3,-1.9,666,32,706
0.3,-2.0,666,28,710
0.3,-2.1,666,26,712
0.3,-2.2,666,24,714
